file_id,n_pred_intervals,n_inserted_intervals,n_touched_pauses
ALL_001_F_GER_ENG_ST1,0,0,0
ALL_005_M_CMN_ENG_ST1,1,1,1
ALL_010_M_RUS_ENG_ST1,1,1,1
ALL_018_F_CMN_ENG_ST1,0,0,0
ALL_023_M_KOR_ENG_ST1,0,0,0
ALL_029_M_TUR_ENG_ST1,0,0,0
ALL_034_M_HIN_ENG_ST1,0,0,0
ALL_044_F_FRA_ENG_ST1,0,0,0
ALL_046_F_FAR_ENG_ST1,0,0,0
ALL_075_F_CCT_ENG_ST1,0,0,0
ALL_087_M_CCT_ENG_ST1,0,0,0
ALL_099_M_SHS_ENG_ST1,0,0,0
ALL_100_F_SHS_ENG_ST1,0,0,0
ALL_112_F_KOR_ENG_ST1,0,0,0
ALL_113_M_JPN_ENG_ST1,9,9,9
ALL_124_M_SHS_ENG_ST1,0,0,0
ALL_126_M_TUR_ENG_ST1,0,0,0
ALL_139_M_PBR_ENG_ST1,0,0,0
ALL_146_F_VIE_ENG_ST1,0,0,0
ALL_151_M_HEB_ENG_ST1,0,0,0
ALL_003_F_RUS_ENG_ST2,0,0,0
ALL_008_F_PBR_ENG_ST2,0,0,0
ALL_013_M_JPN_ENG_ST2,1,1,1
ALL_014_M_TUR_ENG_ST2,0,0,0
ALL_031_M_VIE_ENG_ST2,0,0,0
ALL_034_M_HIN_ENG_ST2,0,0,0
ALL_039_M_CMN_ENG_ST2,0,0,0
ALL_043_M_CMN_ENG_ST2,1,1,1
ALL_044_F_FRA_ENG_ST2,0,0,0
ALL_047_M_FAR_ENG_ST2,1,1,1
ALL_074_F_CCT_ENG_ST2,0,0,0
ALL_078_F_CCT_ENG_ST2,0,0,0
ALL_091_M_TUR_ENG_ST2,1,1,1
ALL_096_F_KOR_ENG_ST2,0,0,0
ALL_097_F_KOR_ENG_ST2,0,0,0
ALL_098_M_GER_ENG_ST2,0,0,0
ALL_100_F_SHS_ENG_ST2,0,0,0
ALL_102_M_SHS_ENG_ST2,0,0,0
ALL_104_M_SHS_ENG_ST2,16,16,14
ALL_151_M_HEB_ENG_ST2,0,0,0
